date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:24	14592/14592	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Oct%202013%2000:09:58%20GMT	http://mappedinjakarta.com/font-awesome.css	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font-awesome.css	(from http://mappedinjakarta.com/map.css?nocache=289671982568)
22:07:26	38708/38708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2001%20Aug%202012%2016:55:10%20GMT	http://mappedinjakarta.com/font/fontawesome-webfont.eot	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font/fontawesome-webfont.eot	(from http://mappedinjakarta.com/font-awesome.css?nocache=289671982568)
22:07:34	130151/130151	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Aug%202012%2016:55:10%20GMT	http://mappedinjakarta.com/font/fontawesome-webfont.svg	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font/fontawesome-webfont.svg	(from http://mappedinjakarta.com/font-awesome.css?nocache=289671982568)
22:07:34	0/-1	---M--	302	error ('')			http://mappedinjakarta.com/logout.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/logout.28.delayed	(from http://mappedinjakarta.com/index.php)
22:07:34	0/-1	---M--	302	error ('')			http://mappedinjakarta.com/menu/index.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/menu/index.29.delayed	(from http://mappedinjakarta.com/index.php)
22:07:34	0/-1	---M--	302	error ('')			http://mappedinjakarta.com/logout.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/logout.2a.delayed	(from http://mappedinjakarta.com/index.php)
22:07:34	41752/41752	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2001%20Aug%202012%2016:55:10%20GMT	http://mappedinjakarta.com/font/fontawesome-webfont.woff	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font/fontawesome-webfont.woff	(from http://mappedinjakarta.com/font-awesome.css?nocache=289671982568)
22:07:35	38708/38708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2001%20Aug%202012%2016:55:10%20GMT	http://mappedinjakarta.com/font/fontawesome-webfont.eot?	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font/fontawesome-webfontd41d.eot	(from http://mappedinjakarta.com/font-awesome.css?nocache=289671982568)
22:07:35	381/381	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2022:07:33%20GMT	http://mappedinjakarta.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/onli/mappedinjakarta.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/all.js)
22:07:35	331/331	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2022:07:33%20GMT	http://mappedinjakarta.com/restserver.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/restserver.2b.delayed	(from http://connect.facebook.net/en_US/all.js)
22:07:37	324/324	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2022:07:34%20GMT	http://mappedinjakarta.com/dialog/	C:/My%20Web%20Sites/onli/mappedinjakarta.com/dialog/index.html	(from http://connect.facebook.net/en_US/all.js)
22:07:37	68476/68476	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2001%20Aug%202012%2016:55:10%20GMT	http://mappedinjakarta.com/font/fontawesome-webfont.ttf	C:/My%20Web%20Sites/onli/mappedinjakarta.com/font/fontawesome-webfont.ttf	(from http://mappedinjakarta.com/font-awesome.css?nocache=289671982568)
